# hoGAMEGATA Full Verified Horror Tags (15825 tags)
# Format: Tag Name | Slug
# Source: https://gamegata.xyz

4th-wall | 4th-wall
4th-wall-break | 4th-wall-break
4th-wall-broken | 4th-wall-broken
4thwallbreaks | 4thwallbreaks
4v1 | 4v1
4vs1 | 4vs1
4x4 | 4x4
5 | 5
5-days | 5-days
5-keys | 5-keys
5-min | 5-min
5-minute | 5-minute
5-minutes | 5-minutes
5-nights | 5-nights
5-nights-at | 5-nights-at
5-nights-at-freddys | 5-nights-at-freddys
5-student | 5-student
50 | 50
5000notebooks | 5000notebooks
50s | 50s
555 | 555
5965 | 5965
5d | 5d
5e | 5e
5e-compatible | 5e-compatible
5ft | 5ft
5hifted | 5hifted
5hifted-remake | 5hifted-remake
5min | 5min
5mins | 5mins
5minutes | 5minutes
5opka | 5opka
5v1 | 5v1
6 | 6
60-seconds | 60-seconds
64-bits | 64-bits
640x360 | 640x360
64bit | 64bit
64x | 64x
64x64 | 64x64
666 | 666
67 | 67
69 | 69
69420d | 69420d
6am | 6am
6d | 6d
6d6rpg | 6d6rpg
7 | 7
7-errors | 7-errors
7-grand-dad | 7-grand-dad
70s | 70s
770 | 770
777 | 777
7d | 7d
7days | 7days
7dfps | 7dfps
7th | 7th
7th-guest | 7th-guest
7zip | 7zip
8-Bit | 8-bit
8-bit-graphics | 8-bit-graphics
8-bits | 8-bits
8-bits-to-infinity | 8-bits-to-infinity
8-coop | 8-coop
8-exit | 8-exit
8-hours | 8-hours
8-pages | 8-pages
8-years | 8-years
80 | 80
80s | 80s
80s-slasher | 80s-slasher
87 | 87
89-squad | 89-squad
8bitryan | 8bitryan
8bits | 8bits
8d | 8d
8direcoes | 8direcoes
8like | 8like
8x8 | 8x8
9 | 9
90-x | 90-x
90s | 90s
90s-fps | 90s-fps
90s-game | 90s-game
90ties | 90ties
911 | 911
98demake | 98demake
99 | 99
999 | 999
99jam | 99jam
99lab | 99lab
99nights | 99nights
99rooms | 99rooms
9to5 | 9to5
AI Generated | ai-generated
AI Text | ai-text
AI-Assisted | ai-assisted
Abstract | abstract
Action | action
Action Horror | action-horror
Action RPG | action-rpg
Action-Adventure | action-adventure
Adult | adult
Adventure | adventure
Aliens | aliens
Alternate History | alternate-history
Altgame | altgame
Amare | amare
Amiga | amiga
Amstrad CPC | amstrad-cpc
Analog & Broadcast | setting-analog
Animals | animals
Animation | animation
Anime | anime
Anime Horror | anime-style
Arcade | arcade
Archery | archery
Arena Shooter | arena-shooter
Art Book | art-book
Artbook | artbook
Aseprite | aseprite
Asset Pack | asset-pack
Asteroids | asteroids
Atmospheric | atmospheric
Audio | audio
Augmented Reality | augmented-reality
Auto Battler | auto-battler
Automation | automation
Backgrounds | backgrounds
Backrooms | backrooms
Baldi's Basics | baldis-basics
Bara | bara
Barfcade | barfcade
Base Building | base-building
Basketball | basketball
Beat 'em up | beat-em-up
Beginner Friendly | beginner-friendly
Bitsy | bitsy
Black & White | black-white
Black and White | black-and-white
Blender | blender
Board Game | board-game
Body Horror | body-horror
Boring | boring
Boss battle | boss-battle
Boys' Love | boys--love
Brain Training | brain-training
Breakout | breakout
Building | building
Bullet Hell | bullet-hell
Buttons | buttons
CRPG | crpg
CRT / Retro Filter | crt-retro
Card Game | card-game
Cartoon | cartoon
Cartoony | cartoony
Casual | casual
Cats | cats
Celtic | celtic
Chaotic Panic | chaotic-panic
Character Customization | character-customization
Characters | characters
Chess | chess
Chicken | chicken
Choices Matter | choices-matter
Choose Your Own Adventure | choose-your-own-adventure
Christmas | christmas
Ciphers | ciphers
City Builder | city-builder
Classes | classes
Classic | classic
Clicker | clicker
Co-op | co-op
Colorful | colorful
Combat | combat
Comedy | comedy
Comedy & Parody | comedy-horror
Comics | comics
Coming of age | coming-of-age
Commodore 64 | commodore-64
Construct 2 | construct-2
Controller | controller
Cooking | cooking
Corona SDK | corona-sdk
Cosmic & Eldritch | cosmic-horror
Cozy | cozy
Cozy Horror | cozy-horror
Crafting | crafting
Creative | creative
Creature Horror | creature-horror
Creepy | creepy
Crime | crime
Cult Classic | cult-classic
Cute | cute
Cyberpunk | cyberpunk
Cyberpunk Horror | setting-cyberpunk
DOOM WAD | doom-wad
DOS | dos
DRM Free | drm-free
Dark | dark
Dark Comedy | dark-comedy
Dark Fantasy | dark-fantasy
Dark Humor | dark-humor
Dating Sim | dating-sim
Deck Building | deck-building
Deckbuilding | deckbuilding
Decker | decker
Deep Sea Horror | setting-deep-sea
Demake | demake
Desktop Pet | desktop-pet
Destruction | destruction
Detective | detective
Dice | dice
Dicey Dungeons | dicey-dungeons
Difficult | difficult
Dinosaurs | dinosaurs
Dog | dog
Dogs | dogs
Doom | doom
Doujinshi | doujinshi
Dragons | dragons
Drawing | drawing
Dread & Psychological | dread-psychological
Dreamcast | dreamcast
Dreams | dreams
Dress Up | dress-up
Driving | driving
Dungeon Crawler | dungeon-crawler
Dungeons & Dragons | dungeons-dragons
Dystopian | dystopian
Economic | economic
Economy | economy
Education | education
Educational | educational
Effects | effects
Emotional | emotional
Emulator | emulator
Endless | endless
Endless Runner | endless-runner
Episodic | episodic
Erotic | erotic
Escape Game | escape-game
Escape Room | escape-room
Experimental | experimental
Exploration | exploration
Explosions | explosions
FBX | fbx
FMV / Live Action | fmv
FPS | fps
FPS Platformer | fps-platformer
Fairy Tale | fairy-tale
Family Friendly | family-friendly
Fangame | fangame
Fantasy | fantasy
Fanzine | fanzine
Farming | farming
Farming Simulator | farming-simulator
Farming Simulator 22 | farming-simulator-22
Farming Simulator 25 | farming-simulator-25
Fast-Paced | fast-paced
Feel Good | feel-good
Female Protagonist | female-protagonist
Femdom | femdom
Fighting | fighting
First person | first-person
Fishing | fishing
Five Nights at Freddy's | five-nights-at-freddys
Flappy Bird | flappy-bird
Flight | flight
Flying | flying
Folk Horror | folk-horror
Folklore | folklore
Fonts | fonts
Food | food
Football | football
Forest | forest
Forged in the Dark | forged-in-the-dark
Found Footage | setting-found-footage
Free Game | freegame
Friday Night Funkin' (FNF) | friday-night-funkin-fnf
Frogs | frogs
Funny | funny
Furry | furry
Futuristic | futuristic
GBJam | gbjam
GM-Less | gm-less
Gacha | gacha
Gacha Club | gacha-club
Game Boy | game-boy
Game Boy ROM | game-boy-rom
Game Design | game-design
Game Jam | game-jam
Game Maker's Toolkit Jam | game-makers-toolkit-jam
Game engine | game-engine
GameMaker | gamemaker
Gardening | gardening
Gay | gay
